Side,First Name,Middle Name,Last name,Email Address,Phone Number,Mehndi,Sangeet,Haldi,Wedding Ceremony,Reception,Group
Bride,Raju,S,Sharma,raju.sharma@examle.com,143,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,144,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,145,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,146,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,147,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,148,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,149,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,150,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,151,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,152,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,153,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,154,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,155,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,156,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,157,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,158,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,159,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,160,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,161,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,162,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,163,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,164,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,165,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,166,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,167,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,168,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,169,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,170,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,171,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,172,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,173,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,174,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,175,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,176,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,177,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,178,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,179,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,180,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,181,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,182,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,183,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,184,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,185,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,186,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,187,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,188,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,189,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,190,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,191,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,192,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,193,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,194,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,195,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,196,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,197,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,198,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,199,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,200,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,201,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,202,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,203,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,204,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,205,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,206,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,207,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,208,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,209,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,210,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,211,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,212,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,213,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,214,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,215,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,216,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,217,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,218,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,219,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,220,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,221,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,222,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,223,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,224,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,225,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,226,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,227,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,228,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,229,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,230,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,231,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,232,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,233,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,234,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,235,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,236,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,237,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,238,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,239,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,240,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,241,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,242,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,243,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,244,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,245,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,246,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,247,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,248,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,249,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,250,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,251,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,252,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,253,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,254,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,255,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,256,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,257,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,258,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,259,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,260,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,261,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,262,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,263,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,264,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,265,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,266,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,267,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,268,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,269,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,270,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,271,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,272,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,273,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,274,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,275,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,276,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,277,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,278,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,279,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,280,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,281,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,282,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,283,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,284,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,285,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,286,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,287,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,288,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,289,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,290,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,291,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,292,,YES,,,,Dance friends
